bodyId,instance,type,pre,post,status,cropped,size
693927941,PDM32a_pct(PDM32)_R,PDM32a_pct,403,1545,Traced,False,2066911429
704699661,PDM32a_pct(PDM32)_R,PDM32a_pct,286,1140,Traced,False,2012426844
735091236,PVL04i_pct(PVL04)_R,PVL04i_pct,310,464,Traced,False,1013279121
819993149,mPNX(AVM02)_R,multi lPN mALT,177,189,Traced,False,530321775
1036504644,PVL04i_pct(PVL04)_R,PVL04i_pct,302,458,Traced,False,957480010
1099842508,mPN_L,,17,42,Traced,True,123768898
1225100939,lPNX(AVM03)_R,VP2 + VC5 lPN,535,726,Traced,False,1239319825
1300276335,PVM03oj_pct(PVM03)_R,PVM03oj_pct,949,6653,Traced,False,2294483761
1543124896,ORN,ORN,77,97,Traced,True,85635827
1543124950,ORN,ORN,72,109,Traced,True,70688772
1543124957,ORN,,65,102,Traced,True,84695446
1574159751,,,150,233,Traced,True,130814436
1574159997,,,144,204,Traced,True,143871114
1574160090,ORN_L,ORN,233,409,Traced,True,203216477
1574160129,,,43,54,Traced,True,53784927
1574164298,ORN,ORN,137,170,Traced,True,150532668
1574164579,ORN_L,ORN,209,374,Traced,True,204925299
1574501116,ORN,ORN,209,407,Traced,True,220626005
1575170425,ORN,ORN,169,187,Traced,True,155676335
1604858244,ORN,ORN,101,159,Traced,True,133772091
1604858301,ORN,ORN,146,180,Traced,True,141583152
1605186174,ORN_L,ORN,160,198,Traced,True,148479031
1605186300,ORN,ORN,162,193,Traced,True,147446964
1605186410,ORN_R,ORN,144,181,Traced,True,142431056
1605190291,ORN_L,ORN,151,187,Traced,True,126746835
1605190359,ORN,ORN,81,133,Traced,True,77952410
1605190412,ORN,ORN,56,52,Traced,True,47366888
1605190489,ORN,ORN,143,180,Traced,True,155399116
1605190560,ORN,ORN,49,85,Traced,True,51814184
1605190603,ORN,ORN,73,87,Traced,True,82834064
1605190615,ORN,ORN,70,101,Traced,True,83378020
1605190625,ORN_R,ORN,154,223,Traced,True,149316342
1605194516,ORN_L,ORN,138,180,Traced,True,132517125
1605194797,ORN_L,ORN,194,316,Traced,True,221313104
1605195203,ORN_L,ORN,226,345,Traced,True,205176802
1605198915,ORN,ORN,169,244,Traced,True,155938362
1605199651,ORN,ORN,156,190,Traced,True,166535711
1605203628,ORN_L,ORN,146,191,Traced,True,157003768
1605204164,ORN_L,ORN,243,465,Traced,True,228699278
1605204239,ORN_L,ORN,185,316,Traced,True,191190672
1605205438,ORN_R,ORN,143,182,Traced,True,161423561
1605205482,ORN,ORN,47,64,Traced,True,68306029
1605522829,ORN,ORN,55,69,Traced,True,51447604
1605523130,ORN_R,ORN,166,232,Traced,True,170557413
1605523221,ORN,ORN,62,121,Traced,True,68475930
1605863918,ORN,ORN,43,69,Traced,True,45534438
1605863963,ORN,ORN,50,87,Traced,True,51667656
1605864014,ORN,ORN,52,57,Traced,True,45269606
1605864018,ORN_L,ORN,134,161,Traced,True,156118451
1605864107,ORN,ORN,56,51,Traced,True,50867641
1605864432,,,19,21,Traced,True,30617847
1605864500,ORN_L,ORN,211,380,Traced,True,206448422
1605864501,ORN_R,ORN,167,276,Traced,True,141085237
1606205362,,,54,31,Traced,True,97534376
1609874147,ORN,ORN,58,58,Traced,True,56687025
1609878729,ORNpiece,ORN,47,41,Traced,True,37522300
1609883285,ORN,ORN,49,62,Traced,True,54288302
1628062270,(PDM28)_L,,420,547,Traced,False,912361379
1635884589,ORN_R,ORN,172,312,Traced,True,199332544
1635884784,ORN_L,ORN,275,378,Traced,True,243476982
1635888647,ORN,ORN,97,79,Traced,True,113957125
1635889014,ORN,ORN,377,583,Traced,True,296075321
1635889103,ORN_L,ORN,346,516,Traced,True,288439885
1635893150,ORN,ORN,119,174,Traced,True,139948050
1635893275,,,82,123,Traced,True,66743135
1635893359,ORN,ORN,77,96,Traced,True,68550033
1635893408,ORN,ORN,76,118,Traced,True,66417003
1635893414,ORN,ORN,72,138,Traced,True,68907232
1635893421,ORN,ORN,64,87,Traced,True,60238586
1635893494,ORN_R,ORN,69,108,Traced,True,77602899
1635893554,ORN_R,ORN,211,268,Traced,True,204661379
1636221010,ORN,ORN,71,129,Traced,True,67408811
1636221143,ORN,ORN,68,98,Traced,True,64845810
1636221188,ORN,ORN,55,82,Traced,True,56123256
1636221240,ORN,ORN,158,263,Traced,True,163493417
1636225271,ORN,ORN,61,111,Traced,True,66890472
1636225296,ORN,ORN,70,109,Traced,True,67563478
1636225341,ORN,ORN,76,99,Traced,True,60300442
1636225363,ORN,ORN,76,134,Traced,True,75844617
1636225489,ORN,ORN,81,149,Traced,True,65521029
1636225502,ORN,ORN,143,167,Traced,True,167603518
1636225517,ORN,ORN,74,109,Traced,True,67561389
1636225531,ORN,ORN,84,111,Traced,True,65283720
1636225559,ORN_R,ORN,224,442,Traced,True,202835564
1636225564,ORN,ORN,170,267,Traced,True,148704811
1636225589,ORN,ORN,231,424,Traced,True,196778695
1636225622,ORN_L,ORN,158,290,Traced,True,156317047
1636225661,ORN,ORN,164,292,Traced,True,167414161
1636229688,ORN_L,ORN,174,315,Traced,True,156392456
1636229755,ORN,ORN,183,301,Traced,True,157989787
1636233881,ORN_L,ORN,137,179,Traced,True,164442936
1636233970,ORN,ORN,74,128,Traced,True,67440240
1636233979,ORN,ORN,81,105,Traced,True,68198597
1636234012,ORN,ORN,69,96,Traced,True,67407202
1636234045,ORN,ORN,78,115,Traced,True,71695339
1636238560,,,43,55,Traced,True,54788645
1636238659,ORN,ORN,74,104,Traced,True,73115171
1636238769,ORN_L,ORN,226,439,Traced,True,232719465
1636238887,ORN,ORN,75,78,Traced,True,66126876
1636238971,ORN_L,ORN,163,281,Traced,True,151239465
1636239206,ORN,ORN,75,99,Traced,True,69000585
1636240001,ORN,ORN,215,378,Traced,True,188889416
1636247688,,,52,63,Traced,True,63647539
1636557601,ORN_R,ORN,159,211,Traced,True,177086442
1636557945,ORN_R,ORN,44,63,Traced,True,53465305
1636558202,ORN,ORN,63,101,Traced,True,66279882
1636558291,ORN,ORN,83,122,Traced,True,72752037
1636558405,ORN,ORN,81,106,Traced,True,65336589
1636898862,ORN_R,ORN,216,359,Traced,True,235161803
1636899236,ORN,ORN,173,317,Traced,True,133630221
1636899254,ORN,ORN,111,144,Traced,True,104431547
1637239858,ORN,ORN,159,297,Traced,True,174837060
1637239941,ORN,ORN,159,234,Traced,True,175793175
1637239975,ORN,ORN,154,194,Traced,True,164531343
1637240364,ORN,ORN,165,191,Traced,True,161387351
1637983203,ORN,ORN,119,140,Traced,True,98198498
1638315078,ORN_L,ORN,199,248,Traced,True,188097169
1639010352,ORN_L,ORN,234,453,Traced,True,239545002
1639252213,ORN_L,ORN,175,227,Traced,True,160985116
1639368236,ORN_L,ORN,231,380,Traced,True,260631644
1639381243,ORN_L,ORN,173,298,Traced,True,165923144
1639579954,ORN,ORN,56,100,Traced,True,61618573
1639588874,ORN,ORN,58,71,Traced,True,53163368
1639593146,ORN_R,ORN,139,204,Traced,True,129134565
1639709286,ORN,ORN,94,172,Traced,True,110012239
1639709508,ORN,ORN,189,329,Traced,True,197023634
1639709544,ORN_L,ORN,190,329,Traced,True,212350789
1639921179,ORN,ORN,46,38,Traced,True,53504150
1639925326,ORN,ORN,163,223,Traced,True,151911926
1639925359,ORN,ORN,67,92,Traced,True,60476557
1640050851,ORN,ORN,149,184,Traced,True,140989891
1640257586,ORN,ORN,45,65,Traced,True,51207171
1640279391,ORN_R,ORN,168,171,Traced,True,144901308
1640568272,ORN,ORN,50,78,Traced,True,44489498
1640572862,ORN,ORN,55,46,Traced,True,49047213
1640585539,ORN,ORN,66,81,Traced,True,61744972
1640922302,ORN,ORN,89,115,Traced,True,60328622
1640922516,LN(AVM02)_R,olfactory LN,2757,10439,Traced,False,3745000864
1640926495,ORN,ORN,60,84,Traced,True,57750275
1641250297,ORN,ORN,51,50,Traced,True,46904586
1641254353,ORN,ORN,63,56,Traced,True,50348003
1641255096,ORN,ORN,48,38,Traced,True,49612853
1641258867,ORN,ORN,39,37,Traced,True,40696603
1641258972,ORN,ORN,48,39,Traced,True,42038143
